"filename", "language", "PHP", "HTML", "JavaScript", "CSS", "JSON", "XML", "YAML", "Markdown", "comment", "blank", "total"
"c:\laragon\www\rhtabiat\app\Http\Controllers\User\IndexProvinces.php", "PHP", 11, 0, 0, 0, 0, 0, 0, 0, 0, 4, 15
"c:\laragon\www\rhtabiat\app\Http\Controllers\User\LogController.php", "PHP", 16, 0, 0, 0, 0, 0, 0, 0, 0, 6, 22
"c:\laragon\www\rhtabiat\app\Http\Controllers\User\LoginUser.php", "PHP", 20, 0, 0, 0, 0, 0, 0, 0, 7, 6, 33
"c:\laragon\www\rhtabiat\app\Http\Controllers\User\MessageController.php", "PHP", 22, 0, 0, 0, 0, 0, 0, 0, 4, 8, 34
"c:\laragon\www\rhtabiat\app\Http\Controllers\User\NotifyUserForOrder.php", "PHP", 17, 0, 0, 0, 0, 0, 0, 0, 0, 5, 22
"c:\laragon\www\rhtabiat\app\Http\Controllers\User\OrderController.php", "PHP", 50, 0, 0, 0, 0, 0, 0, 0, 0, 8, 58
"c:\laragon\www\rhtabiat\app\Http\Controllers\User\TrackOrder.php", "PHP", 15, 0, 0, 0, 0, 0, 0, 0, 0, 5, 20
"c:\laragon\www\rhtabiat\app\Http\Controllers\User\TransactionController.php", "PHP", 76, 0, 0, 0, 0, 0, 0, 0, 4, 13, 93
"c:\laragon\www\rhtabiat\app\Http\Controllers\User\UpdateUserPassword.php", "PHP", 29, 0, 0, 0, 0, 0, 0, 0, 6, 9, 44
"c:\laragon\www\rhtabiat\app\Http\Controllers\User\UserController.php", "PHP", 29, 0, 0, 0, 0, 0, 0, 0, 0, 7, 36
"c:\laragon\www\rhtabiat\app\Http\Controllers\User\UserDetailController.php", "PHP", 17, 0, 0, 0, 0, 0, 0, 0, 0, 6, 23
"c:\laragon\www\rhtabiat\app\Http\Controllers\User\UserGetSelf.php", "PHP", 11, 0, 0, 0, 0, 0, 0, 0, 0, 4, 15
"c:\laragon\www\rhtabiat\app\Http\Controllers\User\VerificationCodeController.php", "PHP", 20, 0, 0, 0, 0, 0, 0, 0, 0, 4, 24
"c:\laragon\www\rhtabiat\app\Http\Controllers\User\VerifyOrder.php", "PHP", 68, 0, 0, 0, 0, 0, 0, 0, 3, 9, 80
"c:\laragon\www\rhtabiat\app\Http\Kernel.php", "PHP", 40, 0, 0, 0, 0, 0, 0, 0, 21, 7, 68
"c:\laragon\www\rhtabiat\app\Http\Middleware\Authenticate.php", "PHP", 10, 0, 0, 0, 0, 0, 0, 0, 6, 4, 20
"c:\laragon\www\rhtabiat\app\Http\Middleware\CheckAdminRole.php", "PHP", 12, 0, 0, 0, 0, 0, 0, 0, 8, 4, 24
"c:\laragon\www\rhtabiat\app\Http\Middleware\EncryptCookies.php", "PHP", 8, 0, 0, 0, 0, 0, 0, 0, 6, 4, 18
"c:\laragon\www\rhtabiat\app\Http\Middleware\PreventRequestsDuringMaintenance.php", "PHP", 8, 0, 0, 0, 0, 0, 0, 0, 6, 4, 18
"c:\laragon\www\rhtabiat\app\Http\Middleware\RedirectIfAuthenticated.php", "PHP", 19, 0, 0, 0, 0, 0, 0, 0, 8, 6, 33
"c:\laragon\www\rhtabiat\app\Http\Middleware\TrimStrings.php", "PHP", 11, 0, 0, 0, 0, 0, 0, 0, 5, 4, 20
"c:\laragon\www\rhtabiat\app\Http\Middleware\TrustHosts.php", "PHP", 12, 0, 0, 0, 0, 0, 0, 0, 5, 4, 21
"c:\laragon\www\rhtabiat\app\Http\Middleware\TrustProxies.php", "PHP", 9, 0, 0, 0, 0, 0, 0, 0, 10, 5, 24
"c:\laragon\www\rhtabiat\app\Http\Middleware\VerifyCsrfToken.php", "PHP", 8, 0, 0, 0, 0, 0, 0, 0, 6, 4, 18
"c:\laragon\www\rhtabiat\app\Http\Requests\AdminStoreOrderRequest.php", "PHP", 21, 0, 0, 0, 0, 0, 0, 0, 0, 4, 25
"c:\laragon\www\rhtabiat\app\Http\Requests\CalcDeliveryCost.php", "PHP", 14, 0, 0, 0, 0, 0, 0, 0, 0, 4, 18
"c:\laragon\www\rhtabiat\app\Http\Requests\EvaluatePromoCodeRequest.php", "PHP", 20, 0, 0, 0, 0, 0, 0, 0, 0, 5, 25
"c:\laragon\www\rhtabiat\app\Http\Requests\IndexArticleRequest.php", "PHP", 18, 0, 0, 0, 0, 0, 0, 0, 0, 5, 23
"c:\laragon\www\rhtabiat\app\Http\Requests\IndexProductRequest.php", "PHP", 20, 0, 0, 0, 0, 0, 0, 0, 0, 5, 25
"c:\laragon\www\rhtabiat\app\Http\Requests\LoginUserRequest.php", "PHP", 21, 0, 0, 0, 0, 0, 0, 0, 6, 5, 32
"c:\laragon\www\rhtabiat\app\Http\Requests\RegisterUserRequest.php", "PHP", 18, 0, 0, 0, 0, 0, 0, 0, 0, 5, 23
"c:\laragon\www\rhtabiat\app\Http\Requests\SaveAddressRequest.php", "PHP", 23, 0, 0, 0, 0, 0, 0, 0, 0, 5, 28
"c:\laragon\www\rhtabiat\app\Http\Requests\SaveBannerRequest.php", "PHP", 30, 0, 0, 0, 0, 0, 0, 0, 0, 6, 36
"c:\laragon\www\rhtabiat\app\Http\Requests\SaveOrderRequest.php", "PHP", 28, 0, 0, 0, 0, 0, 0, 0, 0, 5, 33
"c:\laragon\www\rhtabiat\app\Http\Requests\StoreArticleRequest.php", "PHP", 35, 0, 0, 0, 0, 0, 0, 0, 0, 5, 40
"c:\laragon\www\rhtabiat\app\Http\Requests\StoreBannerRequest.php", "PHP", 20, 0, 0, 0, 0, 0, 0, 0, 5, 5, 30
"c:\laragon\www\rhtabiat\app\Http\Requests\StoreCartProduct.php", "PHP", 32, 0, 0, 0, 0, 0, 0, 0, 10, 5, 47
"c:\laragon\www\rhtabiat\app\Http\Requests\StoreComment.php", "PHP", 39, 0, 0, 0, 0, 0, 0, 0, 0, 5, 44
"c:\laragon\www\rhtabiat\app\Http\Requests\StoreDiscountCodeRequest.php", "PHP", 20, 0, 0, 0, 0, 0, 0, 0, 0, 4, 24
"c:\laragon\www\rhtabiat\app\Http\Requests\StoreGuestOrderRequest.php", "PHP", 62, 0, 0, 0, 0, 0, 0, 0, 0, 7, 69
"c:\laragon\www\rhtabiat\app\Http\Requests\StoreImageRequest.php", "PHP", 23, 0, 0, 0, 0, 0, 0, 0, 0, 5, 28
"c:\laragon\www\rhtabiat\app\Http\Requests\StoreMessageRequest.php", "PHP", 24, 0, 0, 0, 0, 0, 0, 0, 0, 5, 29
"c:\laragon\www\rhtabiat\app\Http\Requests\StoreOrder.php", "PHP", 75, 0, 0, 0, 0, 0, 0, 0, 22, 7, 104
"c:\laragon\www\rhtabiat\app\Http\Requests\StoreProductCategoryRequest.php", "PHP", 24, 0, 0, 0, 0, 0, 0, 0, 0, 5, 29
"c:\laragon\www\rhtabiat\app\Http\Requests\StoreProductRequest.php", "PHP", 36, 0, 0, 0, 0, 0, 0, 0, 0, 4, 40
